title	l:label	id:string:classes
Presses	Class	100
Printing	Class	101
Ammunition and explosives	Class	102
Railways	Class	104
Railway rolling stock	Class	105
Compositions: coating or plastic	Class	106
Horizontally supported planar surfaces	Class	108
Safes, bank protection, or a related device	Class	109
Furnaces	Class	110
Planting	Class	111
Sewing	Class	112
Ships	Class	114
Signals and indicators	Class	116
Single-crystal, oriented-crystal, and epitaxy growth processes; non-coating apparatus therefor	Class	117
Coating apparatus	Class	118
Animal husbandry	Class	119
Boot and shoe making	Class	12
Liquid heaters and vaporizers	Class	122
Internal-combustion engines	Class	123
Mechanical guns and projectors	Class	124
Stone working	Class	125
Stoves and furnaces	Class	126
Sugar, starch, and carbohydrates	Class	127
Surgery	Class	128
Tobacco	Class	131
Toilet	Class	132
Cleaning and liquid contact with solids	Class	134
Tent, canopy, umbrella, or cane	Class	135
Batteries: thermoelectric and photoelectric	Class	136
Fluid handling	Class	137
Pipes and tubular conduits	Class	138
Textiles: weaving	Class	139
Bridges	Class	14
Wireworking	Class	140
Fluent material handling, with receiver or receiver coacting means	Class	141
Wood turning	Class	142
Woodworking	Class	144
Coopering	Class	147
Metal treatment	Class	148
Explosive and thermic compositions or charges	Class	149
Brushing, scrubbing, and general cleaning	Class	15
Purses, wallets, and protective covers	Class	150
Resilient tires and wheels	Class	152
Adhesive bonding and miscellaneous chemical manufacture	Class	156
Wheelwright machines	Class	157
Concentrating evaporators	Class	159
Miscellaneous hardware (e.g., bushing, carpet fastener, caster, door closer, panel hanger, attachable or adjunct handle, hinge, window sash balance, etc.)	Class	16
Flexible or portable closure, partition, or panel	Class	160
Paper making and fiber liberation	Class	162
Needle and pin making	Class	163
Metal founding	Class	164
Heat exchange	Class	165
Wells	Class	166
Farriery	Class	168
Fire extinguishers	Class	169
Unearthing plants or buried objects	Class	171
Earth working	Class	172
Tool driving or impacting	Class	173
Electricity: conductors and insulators	Class	174
Boring or penetrating the earth	Class	175
Weighing scales	Class	177
Telegraphy	Class	178
Motor vehicles	Class	180
Acoustics	Class	181
Fire escape, ladder, or scaffold	Class	182
Lubrication	Class	184
Motors: spring, weight, or animal powered	Class	185
Merchandising	Class	186
Elevator, industrial lift truck, or stationary lift for vehicle	Class	187
Brakes	Class	188
Textiles: fiber preparation	Class	19
Trunks and hand-carried luggage	Class	190
Electricity: transmission to vehicles	Class	191
192 clutches and power-stop control	Class	192
Conveyors, chutes, skids, guides, and ways	Class	193
Check-actuated control mechanisms	Class	194
Mineral oils: apparatus	Class	196
Conveyors: power-driven	Class	198
Type casting	Class	199
Apparel	Class	2
Electricity: circuit makers and breakers	Class	200
Distillation: processes, thermolytic	Class	201
Distillation: apparatus	Class	202
Distillation: processes, separatory	Class	203
Chemistry: electrical and wave energy	Class	204
Electrolysis: processes, compositions used therein, and methods of preparing the compositions	Class	205
Special receptacle or package	Class	206
Mineral oils: processes and products	Class	208
Classifying, separating, and assorting solids	Class	209
Liquid purification or separation	Class	210
Supports: racks	Class	211
Traversing hoists	Class	212
Railway draft appliances	Class	213
Bottles and jars	Class	215
Etching a substrate: processes	Class	216
Wooden receptacles	Class	217
High-voltage switches with arc preventing or extinguishing devices	Class	218
Electric heating	Class	219
Receptacles	Class	220
Article dispensing	Class	221
Dispensing	Class	222
Apparel apparatus	Class	223
Package and article carriers	Class	224
Severing by tearing or breaking	Class	225
Advancing material of indeterminate length	Class	226
Elongated-member-driving apparatus	Class	227
Metal fusion bonding	Class	228
Envelopes, wrappers, and paperboard boxes	Class	229
Chemistry: physical processes	Class	23
Whips and whip apparatus	Class	231
Deposit and collection receptacles	Class	232
Selective cutting (e.g., punching)	Class	234
Registers	Class	235
Automatic temperature and humidity regulation	Class	236
Heating systems	Class	237
Railways: surface track	Class	238
Fluid sprinkling, spraying, and diffusing	Class	239
Buckles, buttons, clasps, etc.	Class	24
Solid material comminution or disintegration	Class	241
