id:string:subclasses	l:label
2/2.5	Subclass
530/383	Subclass
536/23.5	Subclass
219/211	Subclass
514/12	Subclass
435/69.7	Subclass
435/252.3	Subclass
455/5463	Subclass
435/320.1	Subclass
435/325	Subclass
530/350	Subclass
349/61	Subclass
536/23.4	Subclass
514/2	Subclass
424/489	Subclass
424/490	Subclass
424/491	Subclass
271/264	Subclass
424/497	Subclass
424/499	Subclass
379/20704	Subclass
73/584	Subclass
514/1	Subclass
530/399	Subclass
424/932	Subclass
424/179.1	Subclass
423/6481	Subclass
424/183.1	Subclass
424/570	Subclass
424/133.1	Subclass
514/885	Subclass
455/412	Subclass
361/737	Subclass
530/866	Subclass
530/868	Subclass
455/445	Subclass
512/26	Subclass
455/5521	Subclass
512/8	Subclass
568/446	Subclass
455/5531	Subclass
512/20	Subclass
424/76.4	Subclass
510/101	Subclass
512/25	Subclass
428/372	Subclass
512/27	Subclass
549/347	Subclass
250/4921	Subclass
549/356	Subclass
510/516	Subclass
219/12129	Subclass
424/725	Subclass
252/8.63	Subclass
D10/92	Subclass
219/12112	Subclass
252/8.91	Subclass
379/20101	Subclass
124/49	Subclass
510/466	Subclass
701/208	Subclass
510/475	Subclass
379/2071	Subclass
510/492	Subclass
510/513	Subclass
510/515	Subclass
358/498	Subclass
707/1	Subclass
510/521	Subclass
510/522	Subclass
399/365	Subclass
510/527	Subclass
510/123	Subclass
510/124	Subclass
510/125	Subclass
510/126	Subclass
510/127	Subclass
510/130	Subclass
510/137	Subclass
510/138	Subclass
714/15	Subclass
510/158	Subclass
510/159	Subclass
428/376	Subclass
510/322	Subclass
510/327	Subclass
428/377	Subclass
510/328	Subclass
510/329	Subclass
428/457	Subclass
510/504	Subclass
562/606	Subclass
510/441	Subclass
510/312	Subclass
510/313	Subclass
423/481	Subclass
510/349	Subclass
510/360	Subclass
423/486	Subclass
510/376	Subclass
73/602	Subclass
510/470	Subclass
423/522	Subclass
510/473	Subclass
510/507	Subclass
423/6582	Subclass
510/511	Subclass
73/611	Subclass
510/438	Subclass
707/3	Subclass
423/652	Subclass
714/57	Subclass
510/276	Subclass
510/361	Subclass
707/10	Subclass
73/633	Subclass
510/443	Subclass
455/4323	Subclass
510/452	Subclass
701/207	Subclass
510/455	Subclass
399/281	Subclass
510/509	Subclass
510/412	Subclass
510/285	Subclass
510/286	Subclass
510/289	Subclass
510/405	Subclass
510/407	Subclass
510/392	Subclass
435/188	Subclass
510/320	Subclass
510/462	Subclass
435/221	Subclass
510/300	Subclass
124/73	Subclass
510/305	Subclass
510/161	Subclass
318/135	Subclass
510/188	Subclass
510/194	Subclass
510/195	Subclass
D21/759	Subclass
510/220	Subclass
713/2	Subclass
510/226	Subclass
510/235	Subclass
510/321	Subclass
510/530	Subclass
510/384	Subclass
345/212	Subclass
379/903	Subclass
510/435	Subclass
D7/402	Subclass
510/503	Subclass
510/371	Subclass
510/304	Subclass
510/338	Subclass
510/393	Subclass
510/505	Subclass
706/39	Subclass
510/325	Subclass
435/3201	Subclass
510/336	Subclass
361/752	Subclass
510/337	Subclass
257/679	Subclass
536/241	Subclass
510/341	Subclass
174/521	Subclass
510/342	Subclass
29/830	Subclass
510/350	Subclass
510/351	Subclass
510/356	Subclass
717/121	Subclass
123/195C	Subclass
510/357	Subclass
21/127	Subclass
510/499	Subclass
21/128	Subclass
21/133	Subclass
21/119	Subclass
21/14	Subclass
510/277	Subclass
8/137	Subclass
510/283	Subclass
510/406	Subclass
510/432	Subclass
510/439	Subclass
510/238	Subclass
510/424	Subclass
510/477	Subclass
510/506	Subclass
510/191	Subclass
264/148	Subclass
264/177.11	Subclass
264/241	Subclass
510/192	Subclass
510/367	Subclass
510/447	Subclass
510/146	Subclass
510/151	Subclass
510/153	Subclass
510/141	Subclass
510/155	Subclass
510/156	Subclass
123/196R	Subclass
717/124	Subclass
510/133	Subclass
257/2	Subclass
510/152	Subclass
123/196CP	Subclass
510/437	Subclass
